month,ltr_link,recency_link,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,LTR 1,1. LAST_30_DAYS,660635,2.24,339223,51.35,284178,43.02,159443,24.13,56.11,116584,17.65,73.12,2.46,261491,1.65,2.24,1092704.0,16267387.0,6.717145169042822,4.178744201521276
2022-11-01,LTR 3,1. LAST_30_DAYS,308102,1.04,214811,69.72,194441,63.11,134419,43.63,69.13,109337,35.49,81.34,2.31,285220,1.8,2.61,959276.0,17215129.0,5.5722847037626035,3.3632844821541266
2022-11-01,LTR 2,1. LAST_30_DAYS,407174,1.38,260572,64.0,230354,56.57,151929,37.31,65.95,120831,29.68,79.53,2.55,295302,1.87,2.44,1178280.0,18126134.0,6.500448468493061,3.990084726822033
2022-11-01,LTR 4,1. LAST_30_DAYS,250899,0.85,180745,72.04,165234,65.86,118493,47.23,71.71,97957,39.04,82.67,2.07,267333,1.69,2.73,838676.0,15994687.0,5.243466158481251,3.13719593166575
2022-11-01,LTR 1-4,2. 31_45_DAYS,628639,2.13,299378,47.62,253689,40.36,138606,22.05,54.64,100225,15.94,72.31,2.12,192898,1.22,1.92,725874.0,12221761.0,5.9391932144639386,3.762993913881948
2022-11-01,LTR 1-4,3. 46_60_DAYS,562140,1.9,234670,41.75,196374,34.93,101722,18.1,51.8,72200,12.84,70.98,1.53,133801,0.85,1.85,520704.0,8517864.0,6.113081871229689,3.8916301073983006
2022-11-01,LTR 1-4,4. 61_90_DAYS,988371,3.35,361154,36.54,297926,30.14,145838,14.76,48.95,102295,10.35,70.14,2.16,183083,1.16,1.79,729889.0,11794117.0,6.188585376929871,3.9866563252732368
2022-11-01,LTR 1-4,5. 91_180_DAYS,2431872,8.24,644844,26.52,525925,21.63,238860,9.82,45.42,163474,6.72,68.44,3.45,285568,1.8,1.75,1185069.0,18551946.0,6.387842008595756,4.149866231510534
2022-11-01,LTR 1-4,6. 181_365_DAYS,2457042,8.33,396332,16.13,325644,13.25,142020,5.78,43.61,96116,3.91,67.68,2.03,166831,1.05,1.74,757076.0,10900794.0,6.945145463715762,4.537981550191511
2022-11-01,LTR 1-4,7. 365_ABOVE,5624523,19.06,330354,5.87,273938,4.87,126984,2.26,46.36,86843,1.54,68.39,1.83,159592,1.01,1.84,781669.0,10457284.0,7.4748758855549875,4.897920948418467
2022-11-01,LTR 5-20,1. LAST_30_DAYS,1664552,5.64,1318511,79.21,1237035,74.32,974575,58.55,78.78,842625,50.62,86.46,17.8,2894488,18.29,3.44,8051290.0,167132592.0,4.817306967871353,2.7815938431943747
2022-11-01,LTR 21-50,1. LAST_30_DAYS,764409,2.59,663818,86.84,638351,83.51,556229,72.77,87.14,507172,66.35,91.18,10.71,2585594,16.33,5.1,7500019.0,142460075.0,5.2646462526430655,2.900694772651855
2022-11-01,LTR 50+,1. LAST_30_DAYS,557823,1.89,510730,91.56,498465,89.36,461385,82.71,92.56,436312,78.22,94.57,9.22,4171131,26.35,9.56,15509721.0,220412976.0,7.036664211638792,3.718349052091627
2022-11-01,LTR >=5,2. 31_45_DAYS,697221,2.36,454073,65.13,412900,59.22,286595,41.11,69.41,232056,33.28,80.97,4.9,570865,3.61,2.46,1605994.0,34216973.0,4.693559538419719,2.813264081700577
2022-11-01,LTR >=5,3. 46_60_DAYS,524717,1.78,303017,57.75,270725,51.59,176542,33.65,65.21,139515,26.59,79.03,2.95,312389,1.97,2.24,912794.0,18828926.0,4.847828282930211,2.921978686829562
2022-11-01,LTR >=5,4. 61_90_DAYS,801937,2.72,402851,50.23,353042,44.02,215605,26.89,61.07,166926,20.82,77.42,3.53,351065,2.22,2.1,1009131.0,21438772.0,4.7070373247124415,2.874484782020424
2022-11-01,LTR >=5,5. 91_180_DAYS,1478038,5.01,544903,36.87,466152,31.54,262373,17.75,56.28,196057,13.26,74.72,4.14,390181,2.47,1.99,1171660.0,24145067.0,4.852585416308846,3.002862773943375
2022-11-01,LTR >=5,6. 181_365_DAYS,1178015,3.99,251970,21.39,212084,18.0,110963,9.42,52.32,80219,6.81,72.29,1.69,153869,0.97,1.92,511836.0,9717249.0,5.267293243180246,3.326440023656487
2022-11-01,LTR >=5,7. 365_ABOVE,2601417,8.82,196528,7.55,164722,6.33,84068,3.23,51.04,59274,2.28,70.51,1.25,121028,0.76,2.04,455228.0,7728414.0,5.8903159173408675,3.7613444822685658
2022-11-01,LTR =0,LTR=0,4923004,16.68,999674,20.31,838822,17.04,347507,7.06,41.43,203974,4.14,58.7,4.31,417023,2.63,2.04,3217662.0,27437207.0,11.727367147829588,7.715790256172921
2022-11-01,TOTAL,,29510530,100.0,12706632,43.06,10898987,36.93,6111365,20.71,56.07,4733809,16.04,77.46,100.0,15828803,100.0,3.3,62227084.0,918640122.0,6.7738260619973225,3.9312564569790904
2022-11-01,NEW,NEW,0,0.0,3798474,0.0,3058986,0.0,1177209,0.0,38.48,803817,0.0,68.28,16.98,1630051,10.3,2.03,13512532.0,105074768.0,12.859920851788129,8.289637563487277
