month,ltr_link,recency_link,ao_recency,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR=0,LTR=0,1. LAST_7_DAYS,561611,1.99,454468,80.92,413115,73.56,185161,32.97,44.82,100654,17.92,54.36,2.63,210982,1.65,2.10,1440787.0,1.404714E7,10.256799604759403,6.828956972632737
2022-10-01,LTR=0,LTR=0,2. 8_14_DAYS,221464,0.78,121945,55.06,101341,45.76,34862,15.74,34.40,18788,8.48,53.89,0.49,32422,0.25,1.73,272354.0,2236004.0,12.180389659410269,8.400283757942137
2022-10-01,LTR=0,LTR=0,3. 15_30_DAYS,347103,1.23,143659,41.39,115018,33.14,39240,11.31,34.12,21863,6.30,55.72,0.57,35994,0.28,1.65,307835.0,2515751.0,12.236306375312978,8.55239762182586
2022-10-01,LTR=0,LTR=0,4. 31_60_DAYS,420895,1.49,106302,25.26,82906,19.70,31046,7.38,37.45,18123,4.31,58.37,0.47,30247,0.24,1.67,260567.0,2138307.0,12.18566838157477,8.61463946837703
2022-10-01,LTR=0,LTR=0,5. 61_90_DAYS,293156,1.04,43126,14.71,34085,11.63,14134,4.82,41.47,8694,2.97,61.51,0.23,14462,0.11,1.66,127482.0,999077.0,12.759977459194836,8.81496335223344
2022-10-01,LTR=0,LTR=0,6. 91_180_DAYS,666773,2.36,55825,8.37,47201,7.08,22028,3.30,46.67,13719,2.06,62.28,0.36,23376,0.18,1.70,206861.0,1666794.0,12.410711821616829,8.849289869952088
2022-10-01,LTR=0,LTR=0,7. 181_365_DAYS,646882,2.29,30605,4.73,27164,4.20,14315,2.21,52.70,9300,1.44,64.97,0.24,16437,0.13,1.77,143254.0,1146898.0,12.490561497186324,8.715337348664598
2022-10-01,LTR=0,LTR=0,NO_AO,1518974,5.38,37101,2.44,33391,2.20,19071,1.26,57.11,13258,0.87,69.52,0.35,24612,0.19,1.86,204206.0,1664034.0,12.271744447529317,8.297009588818463
2022-10-01,NEW,NEW,,0,0.00,7794462,0.00,6987722,0.00,4575138,0.00,65.47,3625157,0.00,79.24,94.66,12370337,96.95,3.41,4.0505908E7,7.25081068E8,5.5863971337340175,3.2744385217637966
