week,lifetime_stage,Base,Net_Customers,Conversion%,GrossRides,NetRides,Subs_Customers,Subs_Rides,Discounted_Rides,Discounted_Rides%,G2N%,RPC,RPC_Subs_Cust,Subs_Rides%,Discount,Total_coin_burn,Discount_w_coins,Subs_Discount,Subs_Discount%,Subtotal,Discount%_w0_coins,Discount%,ATV,DPR_wo_coins,DPR_w_coins,AO_Sessions,FE_Sessions,RR_Sessions,AO_Cust,AO_Cust%,FE_Cust,FE_Cust%,RR_Cust,RR_Cust%,FF_RR
46,0.NEW,0,203879,0.0,600470,296570,1,2,217593,73.4,49.4,1.5,2.0,0.0,3034429.0,915308.0,3949737.0,80.0,0.0026364103427695953,20293625.0,14.952621820892029,19.462944643946066,68.4277742185656,10.23174629935597,13.318059817243821,2194697,1700675,491864,751101,0.0,740795,0.0,301146,0.0,28.9
46,1.HANDHOLDING,1374409,140855,10.2,444245,236144,1038,2356,115377,48.9,53.2,1.7,2.3,1.0,1208692.0,-378584.0,830108.0,30988.0,2.5637631423058975,14291551.0,8.457388564754098,5.808382869011208,60.520491733857305,5.118453147232198,3.515261874110712,1354673,1055407,356837,393541,28.6,381830,27.8,188635,13.7,33.8
46,2.HOOK,1430627,284166,19.9,915490,541579,7239,22313,169380,31.3,59.2,1.9,3.1,4.1,1605192.0,186701.0,1791893.0,257841.0,16.062938265329006,31227825.0,5.140261929865432,5.738129376605639,57.66070139351784,2.9639110822243846,3.3086456454183044,2230729,1725675,745438,602841,42.1,574335,40.1,350072,24.5,43.2
46,3.DETOX,287317,130803,45.5,609124,402413,16950,86722,250361,62.2,66.1,3.1,5.1,21.6,2704389.0,548235.0,3252624.0,1204666.0,44.544849132280895,17975159.0,15.045146471305205,18.095105584323342,44.66843516486794,6.720431496994381,8.08280050594787,1106794,839578,505438,189956,66.1,177507,61.8,146471,51.0,60.2
46,4.SUSTENANCE,544450,116651,21.4,389371,204886,1722,4250,40042,19.5,52.6,1.8,2.5,2.1,365682.0,168103.0,533785.0,44202.0,12.087551479154019,13272604.0,2.7551639452212995,4.021705160494505,64.78043399744249,1.7848071610554161,2.6052780570658807,1099639,845524,315929,288994,53.1,275222,50.6,154590,28.4,37.4
46,5.COMMITTED,741160,353199,47.7,2009070,1192728,20282,107569,259816,21.8,59.4,3.4,5.3,9.0,2461376.0,1288993.0,3750369.0,1329392.0,54.01011466756806,66768848.0,3.686413759901923,5.616944297136892,55.97994513417979,2.063652400211951,3.1443623357546735,4017469,2959635,1609153,571775,77.1,528559,71.3,407688,55.0,54.4
46,6.CHURN_OTB,319759,69393,21.7,210036,124756,1494,4136,43276,34.7,59.4,1.8,2.8,3.3,400444.0,96194.0,496638.0,49374.0,12.329813906563714,7192627.0,5.567423418453369,6.904820728226279,57.653555740806055,3.209817563884703,3.9808746673506685,520837,402855,173303,148225,46.4,140969,44.1,86078,26.9,43.0
46,7.SOFT_CHURN,235446,32291,13.7,83093,49939,381,800,20299,40.6,60.1,1.5,2.1,1.6,189958.0,47473.0,237431.0,8818.0,4.642078775308226,2937913.0,6.465746262738209,8.08162120525693,58.83003263982058,3.803800636776868,4.754420392879313,222069,175229,68390,76156,32.3,73435,31.2,40201,17.1,39.0
46,8.DORMANT,6636272,359910,5.4,953830,524537,3085,7001,168686,32.2,55.0,1.5,2.3,1.3,1843748.0,707239.0,2550987.0,74094.0,4.018661986345205,32639296.0,5.648859583245913,7.815692470817998,62.224964111206646,3.515000848367227,4.863311835008779,3019040,2397405,793479,1106694,16.7,1076985,16.2,494023,7.4,33.1
46,9.INACTIVE,17202238,166538,1.0,439206,237486,462,1914,87280,36.8,54.1,1.4,4.1,0.8,1045206.0,276870.0,1322076.0,23575.0,2.2555362292217995,15361946.0,6.803864562471447,8.606175285344708,64.6856909459926,4.401126803264193,5.5669639473484755,1390715,1095092,349167,546764,3.2,535669,3.1,230494,1.3,31.9
46,TOTAL,28771678,1857685,6.5,6653935,3811038,52654,237063,1372110,36.0,57.3,2.1,4.5,6.2,14859116.0,3856532.0,18715648.0,3023030.0,20.34461538627197,221961394.0,6.694459668062817,8.431938393755088,58.241716298814126,3.8989682076116794,4.910905637781623,17156662,13197075,5408998,4676047,16.3,4505306,15.7,2399398,8.3,41.0
45,0.NEW,0,192907,0.0,574950,277512,2,5,200096,72.1,48.3,1.4,2.5,0.0,2709745.0,772997.0,3482742.0,119.0,0.004391557139140399,18799578.0,14.413860779215364,18.525639245732005,67.74329758713137,9.764424601458675,12.549878924154632,2145602,1668172,470404,739468,0.0,726406,0.0,290289,0.0,28.2
45,1.HANDHOLDING,1435293,138674,9.7,437837,228137,991,2237,104066,45.6,52.1,1.6,2.3,1.0,1082983.0,-464487.0,618496.0,28688.0,2.648979716209765,13862045.0,7.81257743716746,4.461794778476047,60.761932523001526,4.747073030678934,2.7110727326124215,1399074,1121591,351764,413737,28.8,410961,28.6,189073,13.2,31.4
45,2.HOOK,1396420,263693,18.9,846620,494195,6190,18898,153313,31.0,58.4,1.9,3.1,3.8,1476147.0,-193378.0,1282769.0,223941.0,15.170643574115585,28437233.0,5.190895330779897,4.51087839664288,57.542534829368975,2.98697275367011,2.59567377249871,2158294,1733016,691388,594852,42.6,587687,42.1,329767,23.6,39.9
45,3.DETOX,280707,124160,44.2,562162,366229,15956,76320,234977,64.2,65.1,2.9,4.8,20.8,2559125.0,-10394.0,2548731.0,1059713.0,41.40919259512529,16474753.0,15.533616801417296,15.470526325948558,44.98484008639403,6.987772677750806,6.959391528251449,1038758,833750,465286,186531,66.5,183956,65.5,139977,49.9,55.8
45,4.SUSTENANCE,546920,113585,20.8,378918,195130,1532,3527,38448,19.7,51.5,1.7,2.3,1.8,353795.0,42869.0,396664.0,37787.0,10.680478808349468,12609155.0,2.8058581245134984,3.1458412558176976,64.61925383077948,1.813124583610926,2.032819146210219,1133122,903912,306631,300905,55.0,297608,54.4,152653,27.9,33.9
45,5.COMMITTED,731851,342380,46.8,1919408,1117562,19501,98141,247351,22.1,58.2,3.3,5.0,8.8,2394668.0,108898.0,2503566.0,1224141.0,51.11944536779211,62432460.0,3.835613717607796,4.010039008554204,55.86487371617861,2.1427607595820186,2.2402032280983066,4030461,3141616,1533851,586089,80.1,578104,79.0,399315,54.6,48.8
45,6.CHURN_OTB,366298,82172,22.4,272841,158946,2540,8197,57687,36.3,58.3,1.9,3.2,5.2,547493.0,14591.0,562084.0,105151.0,19.205907655440342,8969846.0,6.103705682349507,6.2663729120879,56.43329180979704,3.444522038931461,3.536320511368641,678462,543133,221236,179094,48.9,176518,48.2,102088,27.9,40.7
45,7.SOFT_CHURN,255471,34331,13.4,91257,54127,445,1042,22899,42.3,59.3,1.6,2.3,1.9,217103.0,24569.0,241672.0,12452.0,5.735526455184866,3175499.0,6.836815253287751,7.610520425293789,58.66755962828164,4.010992665398045,4.464906608531787,250128,202642,75238,84385,33.0,83476,32.7,43341,17.0,37.1
45,8.DORMANT,6538406,344263,5.3,930939,498100,2756,6274,166829,33.5,53.5,1.4,2.3,1.3,1786741.0,457164.0,2243905.0,69710.0,3.901516783909923,30869914.0,5.787968829456409,7.2689058997702425,61.97533427022686,3.587113029512146,4.5049287291708495,3077825,2499739,771390,1124088,17.2,1114309,17.0,481186,7.4,30.9
45,9.INACTIVE,16943555,161303,1.0,433254,229138,444,1729,87576,38.2,52.9,1.4,3.9,0.8,1014157.0,260641.0,1274798.0,22257.0,2.1946306143920515,14771655.0,6.865561103342855,8.63002825343538,64.4661950440346,4.425966011748379,5.563450846214945,1406200,1112068,344783,548980,3.2,540515,3.2,227421,1.3,31.0
45,TOTAL,28494921,1797468,6.3,6448186,3619076,50357,216370,1313242,36.3,56.1,2.0,4.3,6.0,14141957.0,1013470.0,15155427.0,2783959.0,19.685811518165412,210402138.0,6.72139415237311,7.203076520068442,58.136976952128116,3.9076153692268414,4.187650936316341,17317926,13759639,5231971,4758129,16.7,4699540,16.5,2355110,8.3,38.0
